Index,County,Total,Gema,Kalenjin,Luhya,Luo,Kamba,Kisii,Coast,Somali,Other
1,Baringo,281053,8544,258625,3626,1827,393,1068,84,956,5930
2,Bomet,376985,377,362773,1659,3431,226,4976,75,226,3242
3,Bungoma,646598,6143,65500,536159,6660,776,2004,388,453,28515
4,Busia,416756,3959,3042,238301,27548,708,1084,292,1167,140655
5,Elgeyo-Marakwet,213884,898,197992,5604,1005,257,492,43,321,7272
6,Embu,334302,294687,301,702,903,30421,468,334,401,6084
7,Garissa,201473,967,181,242,383,1974,101,201,160493,36930
8,Homa Bay,551071,441,3306,2976,533657,220,3086,110,716,6558
9,Isiolo,89504,9890,1020,394,501,448,197,483,54875,21696
10,Kajiado,463273,112992,6578,22793,18392,47208,14408,1436,6532,232934
11,Kakamega,844551,7685,5827,780196,27110,1267,3040,507,507,18411
12,Kericho,428067,10616,373189,8733,17165,813,10702,128,428,6293
13,Kiambu,1275008,1055069,5355,52658,25628,57120,21038,2933,5993,49215
14,Kilifi,588602,10771,1177,8182,5592,14715,1942,512201,5945,28076
15,Kirinyaga,376001,364345,376,526,526,4738,301,414,451,4324
16,Kisii,637010,2675,3695,2739,6306,892,614778,127,191,5606
17,Kisumu,606754,2002,8495,32583,539040,1092,6856,485,1638,14562
18,Kitui,532758,9057,213,1545,533,514698,373,320,906,5114
19,Kwale,328253,5252,460,4530,2790,27442,1215,272056,1083,13426
20,Laikipia,263012,175429,19305,2472,1631,1683,1736,684,4156,55916
21,Lamu,81453,24395,277,1189,1059,2778,424,14645,8080,28606
22,Machakos,687565,27846,2063,8251,7151,625615,5157,825,1100,9557
23,Makueni,479401,2685,288,911,815,470197,479,479,336,3212
24,Mandera,217030,109,43,22,22,43,0,22,215229,1541
25,Marsabit,166912,968,534,150,150,150,67,451,152491,11951
26,Meru,772139,742798,849,1313,1081,4942,618,5637,4247,10656
27,Migori,469019,1642,4456,19933,276721,328,7598,281,1548,156512
28,Mombasa,641913,53407,8024,56103,62779,79469,13737,199121,16626,152647
29,Murang'a,620929,586157,745,2732,1304,22974,993,310,497,5216
30,Nairobi,2415310,778937,51446,348771,349978,378962,120766,16424,90816,279210
31,Nakuru,1054856,558230,245149,65823,45253,14768,52004,1899,7384,64346
32,Nandi,406288,1991,314467,70735,7029,406,3982,81,406,7191
33,Narok,398784,19142,133313,4706,4746,1715,18464,160,1037,215503
34,Nyamira,323283,679,1487,97,3718,323,314134,65,32,2748
35,Nyandarua,361165,348885,939,2420,506,1734,1842,253,325,4262
36,Nyeri,481632,461355,963,1878,1108,2842,1108,674,1445,10259
37,Samburu,100014,2850,360,170,200,150,110,70,1860,94243
38,Siaya,533595,427,3362,17715,505688,267,480,107,1227,4322
39,Taita Taveta,181827,4455,491,4218,3255,24638,655,9328,2055,132734
40,Tana River,141096,2427,226,1228,536,3231,226,46914,46421,39888
41,Tharaka-Nithi,231932,226250,162,209,232,1392,186,1624,417,1461
42,Trans Nzoia,398981,33514,95117,207350,8977,1795,14683,279,1476,35789
43,Turkana,238528,835,358,954,405,95,119,48,1288,234425
44,Uasin Gishu,506138,51626,294471,83158,21612,3391,11186,709,4049,35936
45,Vihiga,310043,1116,3441,296060,4744,372,806,155,155,3193
46,Wajir,207758,249,62,62,62,208,42,42,205764,1267
47,West Pokot,220026,946,208497,4224,792,176,440,44,880,4026
